Unit: $/MW,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
hard coal,1386477.22,1435207.50,1483937.78,1532668.05,1581398.33,1630128.61,1678858.88,1727589.16,1776319.43,1825049.71,1873779.99,1922510.26,1971240.54,2019970.82,2068701.09,2117431.37,2166161.65,2214891.92,2263622.20,2312352.48,2361082.75,2409813.03,2458543.31,2507273.58,2556003.86,2604734.14,2653464.41,2702194.69,2750924.96,2799655.24,
natural gas steam turbine,2439851.47,2362877.90,2392405.13,2422059.03,2452201.82,2482480.36,2513272.92,2544211.16,2575690.24,2607325.93,2639531.14,2671904.94,2689652.24,2722534.14,2771823.79,2789016.44,2805963.66,2822846.50,2839473.79,2855934.73,2872324.34,2888692.06,2904736.85,2920498.32,2936072.53,2951561.80,2966749.14,2981845.25,2996900.66,3011587.14,
natural gas combined cycle,881978.1081,889882.9794,897787.8507,905692.7219,913597.5932,921502.4645,929407.3358,937312.2071,945217.0783,953121.9496,961026.8209,968931.6922,976836.5635,984741.4347,992646.306,1000551.177,1008456.049,1016360.92,1024265.791,1032170.662,1040075.534,1047980.405,1055885.276,1063790.148,1071695.019,1079599.89,1087504.761,1095409.633,1103314.504,1111219.375,
nuclear,4319515.81,4423302.12,4527088.43,4630874.74,4734661.05,4838447.36,4942233.67,5046019.98,5149806.29,5253592.60,5357378.91,5461165.22,5564951.53,5668737.84,5772524.15,5876310.46,5980096.77,6083883.08,6187669.39,6291455.70,6395242.01,6499028.32,6602814.63,6706600.94,6810387.25,6914173.56,7017959.87,7121746.18,7225532.49,7329318.80,
hydro,900876.33,900876.33,900876.33,900876.33,900876.33,900876.33,900876.33,900876.33,900876.33,900876.33,900876.33,900876.33,900876.33,900876.33,900876.33,900876.33,900876.33,900876.33,900876.33,900876.33,900876.33,900876.33,900876.33,900876.33,900876.33,900876.33,900876.33,900876.33,900876.33,900876.33,
onshore wind,2519342.20,2493894.30,2468446.40,2442998.50,2417550.60,2371744.37,2325938.15,2280131.93,2234325.71,2188519.49,2176026.88,2140399.82,2104772.76,2069145.70,2033518.64,1997891.57,1962264.51,1926637.45,1891010.39,1855383.33,1819756.27,1784129.21,1748502.14,1712875.08,1677248.02,1641620.96,1605993.90,1570366.84,1534739.78,1499112.71,
solar PV,1274241.07,1274241.07,1274241.07,1274241.07,1274241.07,1228368.39,1182495.71,1136623.03,1090750.36,1044877.68,1074069.38,1051133.04,1028196.70,1005260.36,982324.03,959387.69,936451.35,913515.01,890578.67,867642.33,844705.99,821769.65,798833.31,775896.97,752960.63,730024.29,707087.95,684151.61,661215.28,638278.94,
solar thermal,6146160.43,6207145.71,5939220.55,5671295.39,5403370.23,5135445.07,4867519.91,4599594.75,4331669.59,4063744.43,4035313.06,4006881.68,3978450.31,3950018.93,3921587.56,3893156.18,3864724.81,3836293.43,3807862.06,3779430.68,3750999.31,3722567.93,3694136.56,3665705.19,3637273.81,3608842.44,3580411.06,3551979.69,3523548.31,3495116.94,
biomass,3555642.26,3555642.26,3555642.26,3555642.26,3555642.26,3555642.26,3555642.26,3555642.26,3555642.26,3555642.26,3555642.26,3555642.26,3555642.26,3555642.26,3555642.26,3555642.26,3555642.26,3555642.26,3555642.26,3555642.26,3555642.26,3555642.26,3555642.26,3555642.26,3555642.26,3555642.26,3555642.26,3555642.26,3555642.26,3555642.26,
geothermal,8208000.00,8208000.00,8208000.00,8208000.00,8208000.00,8208000.00,8208000.00,8208000.00,8208000.00,8208000.00,8208000.00,8208000.00,8208000.00,8208000.00,8208000.00,8208000.00,8208000.00,8208000.00,8208000.00,8208000.00,8208000.00,8208000.00,8208000.00,8208000.00,8208000.00,8208000.00,8208000.00,8208000.00,8208000.00,8208000.00,
petroleum,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,
natural gas peaker,770136.95,781423.65,789622.22,797806.87,806095.50,814370.35,822754.03,831124.18,839681.36,848153.56,856745.19,865324.07,874028.18,882720.11,891543.44,898199.55,904925.70,911555.09,918169.99,924770.07,931354.97,938005.47,944560.14,951098.53,957715.22,964221.33,970709.94,977180.63,983723.06,990157.87,
lignite,1386477.22,1435207.50,1483937.78,1532668.05,1581398.33,1630128.61,1678858.88,1727589.16,1776319.43,1825049.71,1873779.99,1922510.26,1971240.54,2019970.82,2068701.09,2117431.37,2166161.65,2214891.92,2263622.20,2312352.48,2361082.75,2409813.03,2458543.31,2507273.58,2556003.86,2604734.14,2653464.41,2702194.69,2750924.96,2799655.24,
offshore wind,5439632.27,5294426.48,5149220.69,5004014.90,4858809.11,4713603.32,4568397.53,4423191.74,4277985.95,4132780.16,3987574.37,3842368.58,3697162.79,3551957.00,3406751.22,3261545.43,3116339.64,2971133.85,2825928.06,2680722.27,2535516.48,2390310.69,2245104.90,2099899.11,1954693.32,1809487.53,1664281.74,1519075.95,1373870.16,1228664.37,
crude oil,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,
heavy or residual fuel oil,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,1762910.91,
municipal solid waste,4463927.31,4463927.31,4463927.31,4463927.31,4463927.31,4463927.31,4463927.31,4463927.31,4463927.31,4463927.31,4463927.31,4463927.31,4463927.31,4463927.31,4463927.31,4463927.31,4463927.31,4463927.31,4463927.31,4463927.31,4463927.31,4463927.31,4463927.31,4463927.31,4463927.31,4463927.31,4463927.31,4463927.31,4463927.31,4463927.31,
