Unit: BTU,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,,
agriculture and forestry 01T03,1.56E+11,1.44E+11,1.33E+11,1.21E+11,1.19E+11,1.17E+11,1.15E+11,1.12E+11,1.10E+11,1.08E+11,1.06E+11,1.06E+11,1.05E+11,1.05E+11,1.05E+11,1.05E+11,1.04E+11,1.04E+11,1.04E+11,1.03E+11,1.03E+11,1.02E+11,1.01E+11,1.00E+11,9.90E+10,9.80E+10,9.70E+10,9.59E+10,9.49E+10,9.39E+10,9.28E+10,,,
coal mining 05,1.44E+10,1.39E+10,1.24E+10,1.22E+10,1.19E+10,1.17E+10,1.14E+10,1.12E+10,1.10E+10,1.07E+10,1.05E+10,1.03E+10,1.00E+10,9.79E+09,9.55E+09,9.32E+09,9.08E+09,8.84E+09,8.61E+09,8.37E+09,8.14E+09,7.91E+09,7.68E+09,7.46E+09,7.23E+09,7.00E+09,6.78E+09,6.55E+09,6.33E+09,6.10E+09,5.87E+09,,,
oil and gas extraction 06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,
other mining and quarrying 07T08,2.04E+10,1.89E+10,1.74E+10,1.59E+10,1.56E+10,1.53E+10,1.50E+10,1.48E+10,1.45E+10,1.42E+10,1.39E+10,1.39E+10,1.38E+10,1.38E+10,1.38E+10,1.37E+10,1.37E+10,1.36E+10,1.36E+10,1.36E+10,1.35E+10,1.34E+10,1.33E+10,1.31E+10,1.30E+10,1.29E+10,1.27E+10,1.26E+10,1.24E+10,1.23E+10,1.22E+10,,,
food beverage and tobacco 10T12,9.10E+10,8.42E+10,7.75E+10,7.07E+10,6.94E+10,6.82E+10,6.69E+10,6.56E+10,6.44E+10,6.31E+10,6.19E+10,6.17E+10,6.15E+10,6.14E+10,6.12E+10,6.10E+10,6.09E+10,6.07E+10,6.06E+10,6.04E+10,6.02E+10,5.96E+10,5.90E+10,5.84E+10,5.78E+10,5.72E+10,5.66E+10,5.60E+10,5.54E+10,5.48E+10,5.42E+10,,,
textiles apparel and leather 13T15,7.07E+10,6.55E+10,6.02E+10,5.50E+10,5.40E+10,5.30E+10,5.20E+10,5.11E+10,5.01E+10,4.91E+10,4.81E+10,4.80E+10,4.79E+10,4.77E+10,4.76E+10,4.75E+10,4.74E+10,4.72E+10,4.71E+10,4.70E+10,4.68E+10,4.64E+10,4.59E+10,4.54E+10,4.50E+10,4.45E+10,4.40E+10,4.36E+10,4.31E+10,4.26E+10,4.21E+10,,,
wood products 16,4.99E+09,4.62E+09,4.25E+09,3.88E+09,3.81E+09,3.74E+09,3.67E+09,3.60E+09,3.53E+09,3.46E+09,3.39E+09,3.38E+09,3.37E+09,3.36E+09,3.36E+09,3.35E+09,3.34E+09,3.33E+09,3.32E+09,3.31E+09,3.30E+09,3.27E+09,3.24E+09,3.20E+09,3.17E+09,3.14E+09,3.10E+09,3.07E+09,3.04E+09,3.00E+09,2.97E+09,,,
pulp paper and printing 17T18,7.24E+10,6.70E+10,6.17E+10,5.63E+10,5.53E+10,5.43E+10,5.33E+10,5.23E+10,5.13E+10,5.03E+10,4.92E+10,4.91E+10,4.90E+10,4.89E+10,4.87E+10,4.86E+10,4.85E+10,4.83E+10,4.82E+10,4.81E+10,4.80E+10,4.75E+10,4.70E+10,4.65E+10,4.60E+10,4.55E+10,4.51E+10,4.46E+10,4.41E+10,4.36E+10,4.31E+10,,,
refined petroleum and coke 19,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,
chemicals 20,2.12E+14,2.16E+14,2.20E+14,2.24E+14,2.28E+14,2.32E+14,2.36E+14,2.40E+14,2.44E+14,2.48E+14,2.52E+14,2.54E+14,2.57E+14,2.59E+14,2.61E+14,2.64E+14,2.66E+14,2.69E+14,2.71E+14,2.73E+14,2.76E+14,2.76E+14,2.77E+14,2.78E+14,2.79E+14,2.79E+14,2.80E+14,2.81E+14,2.82E+14,2.82E+14,2.83E+14,,,
rubber and plastic products 22,1.10E+14,1.12E+14,1.14E+14,1.16E+14,1.18E+14,1.20E+14,1.22E+14,1.24E+14,1.26E+14,1.28E+14,1.31E+14,1.32E+14,1.33E+14,1.34E+14,1.35E+14,1.37E+14,1.38E+14,1.39E+14,1.40E+14,1.42E+14,1.43E+14,1.43E+14,1.44E+14,1.44E+14,1.44E+14,1.45E+14,1.45E+14,1.45E+14,1.46E+14,1.46E+14,1.47E+14,,,
glass and glass products 231,9.05E+11,8.38E+11,7.70E+11,7.03E+11,6.91E+11,6.78E+11,6.66E+11,6.53E+11,6.40E+11,6.28E+11,6.15E+11,6.14E+11,6.12E+11,6.10E+11,6.09E+11,6.07E+11,6.06E+11,6.04E+11,6.02E+11,6.01E+11,5.99E+11,5.93E+11,5.87E+11,5.81E+11,5.75E+11,5.69E+11,5.63E+11,5.57E+11,5.51E+11,5.45E+11,5.39E+11,,,
cement and other nonmetallic minerals 239,1.45E+11,1.34E+11,1.23E+11,1.12E+11,1.10E+11,1.08E+11,1.06E+11,1.04E+11,1.02E+11,1.00E+11,9.84E+10,9.82E+10,9.79E+10,9.76E+10,9.74E+10,9.71E+10,9.69E+10,9.66E+10,9.63E+10,9.61E+10,9.58E+10,9.49E+10,9.39E+10,9.29E+10,9.20E+10,9.10E+10,9.01E+10,8.91E+10,8.81E+10,8.72E+10,8.62E+10,,,
iron and steel 241,1.58E+09,1.23E+09,8.86E+08,5.38E+08,5.20E+08,5.03E+08,4.86E+08,4.69E+08,4.52E+08,4.34E+08,4.17E+08,4.16E+08,4.15E+08,4.14E+08,4.13E+08,4.13E+08,4.12E+08,4.11E+08,4.10E+08,4.09E+08,4.08E+08,4.05E+08,4.02E+08,4.00E+08,3.97E+08,3.94E+08,3.91E+08,3.88E+08,3.86E+08,3.83E+08,3.80E+08,,,
other metals 242,1.11E+12,1.06E+12,1.01E+12,9.56E+11,1.01E+12,1.06E+12,1.12E+12,1.17E+12,1.22E+12,1.28E+12,1.33E+12,1.31E+12,1.30E+12,1.28E+12,1.26E+12,1.24E+12,1.22E+12,1.21E+12,1.19E+12,1.17E+12,1.15E+12,1.12E+12,1.09E+12,1.06E+12,1.03E+12,9.98E+11,9.66E+11,9.35E+11,9.04E+11,8.73E+11,8.41E+11,,,
metal products except machinery and vehicles 25,9.39E+12,8.97E+12,8.55E+12,8.13E+12,8.58E+12,9.04E+12,9.49E+12,9.95E+12,1.04E+13,1.09E+13,1.13E+13,1.12E+13,1.10E+13,1.09E+13,1.07E+13,1.06E+13,1.04E+13,1.03E+13,1.01E+13,9.96E+12,9.81E+12,9.54E+12,9.28E+12,9.01E+12,8.74E+12,8.48E+12,8.21E+12,7.95E+12,7.68E+12,7.42E+12,7.15E+12,,,
