Policy:,crop and rice measures,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
-1150,-1100,0,2729310914,2670856852,2612402790,2553948729,2495494667,2037165977,1578837286,1120508596,662179905.7,203851215.4,183545913.1,163240610.7,142935308.4,122630006.1,102324703.7,81859762.98,61394822.23,40929881.49,20464940.74,0,133746820.9,267493641.8,401240462.7,534987283.6,668734104.5,534987283.6,401240462.7,267493641.8,133746820.9,0
-1100,-1050,0,1232765088,2396123568,3559482049,4722840529,5886199010,5399896438,4913593867,4427291295,3940988724,3454686152,2812633981,2170581809,1528529637,886477465.7,244425294,330329391.4,416233488.7,502137586,588041683.4,673945780.7,632273661.8,590601542.8,548929423.9,507257305,465585186,633179940.4,800774694.7,968369449,1135964203,1303558958
-1050,-1000,0,5204943399,3903707549,2602471700,1301235850,0,0,0,0,0,0,559178034,1118356068,1677534102,2236712136,2795890170,2300490785,1805091400,1309692016,814292630.8,318893245.9,287484753.2,256076260.5,224667767.8,193259275.1,161850782.4,285526639.6,409202496.7,532878353.9,656554211,780230068.2
-1000,-950,0,4247720841,4507322519,4766924196,5026525874,5286127551,4228902041,3171676531,2114451021,1057225510,0,131962814.6,263925629.2,395888443.8,527851258.3,659814072.9,1141363572,1622913071,2104462570,2586012069,3067561568,3048053671,3028545773,3009037876,2989529979,2970022082,2978570920,2987119758,2995668596,3004217435,3012766273
-950,-900,0,1681416262,1294829365,908242468,521655570.9,135068673.8,958036831.9,1781004990,2603973148,3426941306,4249909464,3467930919,2685952374,1903973828,1121995283,340016737.4,272013389.9,204010042.4,136006695,68003347.48,0,0,0,0,0,0,34704455.54,69408911.08,104113366.6,138817822.2,173522277.7
-900,-850,0,107539576.5,105236385.2,102933194,100630002.7,98326811.48,78661449.18,58996086.89,39330724.59,19665362.3,0,821074452,1642148904,2463223356,3284297808,4105372260,3284297808,2463223356,1642148904,821074452,0,353231817.5,706463635,1059695453,1412927270,1766159088,1445257084,1124355080,803453076.7,482551073.1,161649069.4
-850,-800,0,0,0,0,0,0,213183828.7,426367657.5,639551486.2,852735315,1065919144,852735315,639551486.2,426367657.5,213183828.7,0,891960627,1783921254,2675881881,3567842508,4459803135,4439104384,4418405633,4397706882,4377008131,4356309380,4363362636,4370415893,4377469149,4384522405,4391575662
-800,-750,0,0,0,0,0,0,17410047.06,34820094.12,52230141.18,69640188.24,87050235.3,69640188.24,52230141.18,34820094.12,17410047.06,0,0,0,0,0,0,119568397.9,239136795.8,358705193.7,478273591.6,597841989.5,1543905356,2489968723,3436032089,4382095456,5328158822
-750,-700,0,847131110.2,909434089.6,971737069,1034040048,1096343028,877074422.3,657805816.7,438537211.1,219268605.6,0,0,0,0,0,0,123983243.5,247966486.9,371949730.4,495932973.9,619916217.3,529524162.4,439132107.4,348740052.4,258347997.4,167955942.5,160005014.3,152054086.1,144103158,136152229.8,128201301.7
-700,-650,0,592786855.3,499644936.7,406503018,313361099.3,220219180.7,176175344.5,132131508.4,88087672.26,44043836.13,0,131719995.3,263439990.6,395159985.8,526879981.1,658599976.4,870182766.7,1081765557,1293348347,1504931138,1716513928,1398291928,1080069929,761847929.3,443625929.7,125403930.1,100323144.1,75242358.07,50161572.05,25080786.02,0
-650,-600,0,354720844.4,347123734.8,339526625.2,331929515.6,324332406,476278878.2,628225350.3,780171822.4,932118294.6,1084064767,905151013,726237259.2,547323505.5,368409751.7,189495998,434569347.2,679642696.5,924716045.7,1169789395,1414862744,1691145829,1967428914,2243711998,2519995083,2796278168,2518786315,2241294463,1963802611,1686310758,1408818906
