Year,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CO2 (g),-4.82E+13,-4.86E+13,-4.33E+13,-4.20E+13,-3.91E+13,-3.93E+13,-3.93E+13,-3.85E+13,-3.99E+13,-3.99E+13,-3.99E+13,-3.99E+13,-3.99E+13,-3.99E+13,-3.99E+13,-3.99E+13,-3.99E+13,-3.99E+13,-3.99E+13,-3.99E+13,-3.99E+13,-3.99E+13,-3.99E+13,-3.99E+13,-3.99E+13,-3.99E+13,-3.99E+13,-3.99E+13,-3.99E+13,-3.99E+13,-3.99E+13,-3.99E+13,-3.99E+13,-3.99E+13,-3.99E+13,-3.99E+13
VOCs (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOx (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM10 (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM25 (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOx (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OC (g),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4 (g),1.49E+10,1.41E+10,1.38E+10,1.37E+10,1.47E+10,1.50E+10,1.42E+10,1.84E+10,1.47E+10,1.47E+10,1.47E+10,1.47E+10,1.47E+10,1.47E+10,1.47E+10,1.47E+10,1.47E+10,1.47E+10,1.47E+10,1.47E+10,1.47E+10,1.47E+10,1.47E+10,1.47E+10,1.47E+10,1.47E+10,1.47E+10,1.47E+10,1.47E+10,1.47E+10,1.47E+10,1.47E+10,1.47E+10,1.47E+10,1.47E+10,1.47E+10
N2O (g),3.02E+06,6.42E+05,2.13E+07,9.55E+06,4.75E+07,4.60E+07,5.28E+05,2.76E+08,4.38E+07,4.38E+07,4.38E+07,4.38E+07,4.38E+07,4.38E+07,4.38E+07,4.38E+07,4.38E+07,4.38E+07,4.38E+07,4.38E+07,4.38E+07,4.38E+07,4.38E+07,4.38E+07,4.38E+07,4.38E+07,4.38E+07,4.38E+07,4.38E+07,4.38E+07,4.38E+07,4.38E+07,4.38E+07,4.38E+07,4.38E+07,4.38E+07
F gases (g CO2e),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
